Celestial Body,Mass,Diameter,DayLength,SunDistance,OrbitPeriod,OrbitVelocity,MeanTemperature,SurfacePressure,Moons,Rings,MagneticField,FirstVisited,FirstMission,LogMass
Mercury,0.33,4879,4222.6,57.9,88.0,47.4,167,0.0,0,No,Yes,1974-03-29,Mariner 10,-1.1086626245216111
Venus,4.87,12104,2802.0,108.2,224.7,35.0,464,92.0,0,No,No,1962-08-27,Mariner 2,1.5830939370944985
Earth,5.97,12756,24.0,149.6,365.2,29.8,15,1.0,1,No,Yes,,,1.7867469274045107
Moon,0.073,3475,708.7,,27.3,1.0,-20,0.0,0,No,No,1959-09-12,Luna 2,-2.617295837833746
Mars,0.642,6792,24.7,227.9,687.0,24.1,-65,0.01,2,No,No,1965-07-15,Mariner 4,-0.44316697529217586
Jupiter,1898.0,142984,9.9,778.6,4331.0,13.1,-110,,67,Yes,Yes,1973-12-04,Pioneer 10,7.5485559791698735
Saturn,568.0,120536,10.7,1433.5,10747.0,9.7,-140,,62,Yes,Yes,1979-09-01,Pioneer 11,6.342121418721152
Uranus,86.8,51118,17.2,2872.5,30589.0,6.8,-195,,27,Yes,Yes,1986-01-24,Voyager 2,4.463606621666305
Neptune,102.0,49528,16.1,4495.1,59800.0,5.4,-200,,14,Yes,Yes,1989-08-25,Voyager 2,4.624972813284271
Pluto,0.0146,2370,153.3,5906.4,90560.0,4.7,-225,1e-05,5,No,,2015-07-14,New Horizons,-4.226733750267846
